director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Rob Marshall,Fergie,Elio Germano,English,USA,Drama Musical Romance,nine,Rob Marshall Fergie Elio Germano Drama Musical Romance nine
Richard Donner,Paul Walker,Gerard Butler,English,USA,Action Adventure Sci-Fi,timeline,Richard Donner Paul Walker Gerard Butler Action Adventure Sci-Fi timeline
Kevin Costner,Olivia Williams,Brian Anthony Wilson,English,USA,Action Adventure Drama Sci-Fi,the postman,Kevin Costner Olivia Williams Brian Anthony Wilson Action Adventure Drama Sci-Fi the postman
George Miller,Adam Goldberg,Elizabeth Daily,English,Australia,Adventure Comedy Drama Family Fantasy,babe: pig in the city,George Miller Adam Goldberg Elizabeth Daily Adventure Comedy Drama Family Fantasy babe: pig in the city
Breck Eisner,Vin Diesel,Joseph Gilgun,English,USA,Action Adventure Fantasy,the last witch hunter,Breck Eisner Vin Diesel Joseph Gilgun Action Adventure Fantasy the last witch hunter
Antony Hoffman,Bob Neill,Val Kilmer,English,USA,Action Sci-Fi Thriller,red planet,Antony Hoffman Bob Neill Val Kilmer Action Sci-Fi Thriller red planet
Luc Besson,Mia Farrow,Adam LeFevre,English,France,Adventure Animation Family Fantasy,arthur and the invisibles,Luc Besson Mia Farrow Adam LeFevre Adventure Animation Family Fantasy arthur and the invisibles
Jacques Perrin,Pedro Armendáriz Jr.,Jacques Perrin,French,France,Documentary Drama,oceans,Jacques Perrin Pedro Armendáriz Jr. Jacques Perrin Documentary Drama oceans
Peter Hyams,David Oyelowo,Catherine McCormack,English,UK,Action Adventure Horror Sci-Fi Thriller,a sound of thunder,Peter Hyams David Oyelowo Catherine McCormack Action Adventure Horror Sci-Fi Thriller a sound of thunder
Paul W.S. Anderson,Sasha Roiz,Currie Graham,English,Canada,Action Adventure Drama History Romance,pompeii,Paul W.S. Anderson Sasha Roiz Currie Graham Action Adventure Drama History Romance pompeii
Andrés Couturier,Sariann Monaco,David Hoffman,Spanish,Mexico,Animation Family,top cat begins,Andrés Couturier Sariann Monaco David Hoffman Animation Family top cat begins
Ron Howard,Adam Goldberg,Austin Pendleton,English,USA,Biography Drama,a beautiful mind,Ron Howard Adam Goldberg Austin Pendleton Biography Drama a beautiful mind
Roger Allers,Matthew Broderick,Nathan Lane,English,USA,Adventure Animation Drama Family Musical,the lion king,Roger Allers Matthew Broderick Nathan Lane Adventure Animation Drama Family Musical the lion king
Brad Peyton,Josh Hutcherson,Dwayne Johnson,English,USA,Action Adventure Comedy Family Fantasy Sci-Fi,journey 2: the mysterious island,Brad Peyton Josh Hutcherson Dwayne Johnson Action Adventure Comedy Family Fantasy Sci-Fi journey 2: the mysterious island
Cody Cameron,Will Forte,Khamani Griffin,English,USA,Animation Comedy Family Fantasy Sci-Fi,cloudy with a chance of meatballs 2,Cody Cameron Will Forte Khamani Griffin Animation Comedy Family Fantasy Sci-Fi cloudy with a chance of meatballs 2
