director_name,actor_1_name,actor_2_name,genres,movie_title,combined
 Axel Petersén and Måns Månsson, Léonore Ekstrand,Christer Levin,Drama Thriller TV Movie,the real estate, Axel Petersén and Måns Månsson  Léonore Ekstrand Christer Levin Drama Thriller TV Movie the real estate
 José Padilha, Rosamund Pike,Daniel Brühl,,entebbe (a.k.a. 7 days in entebbe),
 Alex Garland, Natalie Portman,Jennifer Jason Leigh,Science Fiction Horror,annihilation, Alex Garland  Natalie Portman Jennifer Jason Leigh Science Fiction Horror annihilation
 Duncan Jones, Alexander Skarsgård,Paul Rudd,Science Fiction Mystery Thriller,mute, Duncan Jones  Alexander Skarsgård Paul Rudd Science Fiction Mystery Thriller mute
 Karen Gillan, Karen Gillan,Lee Pace,Drama Comedy,the party's just beginning, Karen Gillan  Karen Gillan Lee Pace Drama Comedy the party's just beginning
 Garth Davis, Rooney Mara,Joaquin Phoenix,Drama History,mary magdalene, Garth Davis  Rooney Mara Joaquin Phoenix Drama History mary magdalene
 Andrés Couturier, Toby Kebbell,Lily Collins,,a wizard's tale (a.k.a. here comes the grump),
 Roar Uthaug, Alicia Vikander,Dominic West,Action Adventure Fantasy,tomb raider, Roar Uthaug  Alicia Vikander Dominic West Action Adventure Fantasy tomb raider
unknown, Felipe Bustos Sierra,unknown,Documentary,nae pasaran,unknown  Felipe Bustos Sierra unknown Documentary nae pasaran
" Scott Elliott, Sid Sadowskyj", Tom Blyth,Sid Sadowskyj Cast: Tom Blyth,Drama,scott and sid," Scott Elliott, Sid Sadowskyj  Tom Blyth Sid Sadowskyj Cast: Tom Blyth Drama scott and sid"
 Dan Cadan, Stephen Graham,Jason Flemyng,Comedy,walk like a panther, Dan Cadan  Stephen Graham Jason Flemyng Comedy walk like a panther
 John Stevenson, James McAvoy,Emily Blunt,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes, John Stevenson  James McAvoy Emily Blunt Animation Family Fantasy Comedy Adventure Mystery sherlock gnomes
 Steve McLean, Harris Dickinson,Ben Cura,Drama,postcards from london, Steve McLean  Harris Dickinson Ben Cura Drama postcards from london
 Paul Raschid, Shauna Macdonald,Oded Fehr,Science Fiction,white chamber, Paul Raschid  Shauna Macdonald Oded Fehr Science Fiction white chamber
 Jack Spring, David J. Keogh,Matt Sheahan,Comedy,destination: dewsbury, Jack Spring  David J. Keogh Matt Sheahan Comedy destination: dewsbury
 Mike Newell, Lily James,Michiel Huisman,Romance Drama History,the guernsey literary and potato peel pie society, Mike Newell  Lily James Michiel Huisman Romance Drama History the guernsey literary and potato peel pie society
 Suzi Ewing, Kelly Reilly,Luke Evans,Music,10x10, Suzi Ewing  Kelly Reilly Luke Evans Music 10x10
unknown, Zara Balfour,Marcus Stephenson,Documentary,children of the snow land,unknown  Zara Balfour Marcus Stephenson Documentary children of the snow land
 Andy Tohill and Ryan Tohill, Moe Dunford,Francis Magee,Drama History,the dig, Andy Tohill and Ryan Tohill  Moe Dunford Francis Magee Drama History the dig
unknown, Ian Bonhôte and Peter Ettedgui,unknown,Documentary,mcqueen,unknown  Ian Bonhôte and Peter Ettedgui unknown Documentary mcqueen
" Layke Anderson, Natalia Casali, Nick Cohen, Mitchell Crawford, Andreas Heger-Bratterud, Ben Jacobson, Rosanna Lowe, Gaelle Mourre, Kaki Wong", Juliet Stevenson,Natalia Casali,Drama,london unplugged," Layke Anderson, Natalia Casali, Nick Cohen, Mitchell Crawford, Andreas Heger-Bratterud, Ben Jacobson, Rosanna Lowe, Gaelle Mourre, Kaki Wong  Juliet Stevenson Natalia Casali Drama london unplugged"
 Roger Michell, Eileen Atkins,Judi Dench,,nothing like a dame (a.k.a. tea with the dames),
 Andrew Niccol, Clive Owen,Amanda Seyfried,Science Fiction,anon, Andrew Niccol  Clive Owen Amanda Seyfried Science Fiction anon
 James Oakley, Uma Thurman,Tim Roth,Comedy,the con is on, James Oakley  Uma Thurman Tim Roth Comedy the con is on
 Paweł Pawlikowski, Tomasz Kot,Joanna Kulig,Comedy Romance,cold war, Paweł Pawlikowski  Tomasz Kot Joanna Kulig Comedy Romance cold war
 Piotr Szkopiak, Alex Pettyfer,Robert Więckiewicz,History Thriller,the last witness, Piotr Szkopiak  Alex Pettyfer Robert Więckiewicz History Thriller the last witness
 Vaughn Stein, Margot Robbie,Simon Pegg,Comedy Drama,terminal, Vaughn Stein  Margot Robbie Simon Pegg Comedy Drama terminal
unknown, Kevin Macdonald,unknown,Music Documentary,whitney,unknown  Kevin Macdonald unknown Music Documentary whitney
 Terry Gilliam, Adam Driver,Jonathan Pryce,Adventure Comedy Drama Fantasy,the man who killed don quixote, Terry Gilliam  Adam Driver Jonathan Pryce Adventure Comedy Drama Fantasy the man who killed don quixote
 Anthony Byrne, Amrita Acharia,Jack Ashton,Thriller,welcome to curiosity, Anthony Byrne  Amrita Acharia Jack Ashton Thriller welcome to curiosity
 Anthony Byrne, Natalie Dormer,Emily Ratajkowski,Thriller Mystery,in darkness, Anthony Byrne  Natalie Dormer Emily Ratajkowski Thriller Mystery in darkness
 Oliver Parker, Rob Brydon,Jane Horrocks,Comedy Drama,swimming with men, Oliver Parker  Rob Brydon Jane Horrocks Comedy Drama swimming with men
 Drew Pearce, Jodie Foster,Sterling K. Brown,Thriller Science Fiction Action,hotel artemis, Drew Pearce  Jodie Foster Sterling K. Brown Thriller Science Fiction Action hotel artemis
 Mike Mort, Mike Mort,Jennifer Saunders,Animation Action Comedy Horror,chuck steel: night of the trampires, Mike Mort  Mike Mort Jennifer Saunders Animation Action Comedy Horror chuck steel: night of the trampires
 Jason Wingard, Antonio Aakeel,Jack Carroll,Comedy Drama,eaten by lions, Jason Wingard  Antonio Aakeel Jack Carroll Comedy Drama eaten by lions
 Matt Palmer, Jack Lowden,Martin McCann,Horror Thriller,calibre, Matt Palmer  Jack Lowden Martin McCann Horror Thriller calibre
unknown, David Wilkinson,unknown,Documentary,postcards from the 48%,unknown  David Wilkinson unknown Documentary postcards from the 48%
 Matthew Holness, Sean Harris,Alun Armstrong,Drama Horror Thriller,possum, Matthew Holness  Sean Harris Alun Armstrong Drama Horror Thriller possum
