director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
 Wash Westmoreland, Keira Knightley,Dominic West,English,UK,Drama History,colette, Wash Westmoreland  Keira Knightley Dominic West Drama History colette
 Nick Park, Eddie Redmayne,Tom Hiddleston,English,UK,Family Comedy Animation Adventure,early man, Nick Park  Eddie Redmayne Tom Hiddleston Family Comedy Animation Adventure early man
 Jim Hosking, Aubrey Plaza,Emile Hirsch,English,UK,Comedy Crime,an evening with beverly luff linn, Jim Hosking  Aubrey Plaza Emile Hirsch Comedy Crime an evening with beverly luff linn
 Idris Elba, Aml Ameen,Stephen Graham,English,UK,Crime,yardie, Idris Elba  Aml Ameen Stephen Graham Crime yardie
 Rupert Everett, Rupert Everett,Colin Firth,English,UK,Drama,the happy prince, Rupert Everett  Rupert Everett Colin Firth Drama the happy prince
 Stephen Loveridge, M.I.A.,unknown,English,UK,Music Documentary,matangi/maya/m.i.a., Stephen Loveridge  M.I.A. unknown Music Documentary matangi/maya/m.i.a.
 Desiree Akhavan, Chloë Grace Moretz,Sasha Lane,English,UK,Drama,the miseducation of cameron post, Desiree Akhavan  Chloë Grace Moretz Sasha Lane Drama the miseducation of cameron post
 Claire McCarthy, Daisy Ridley,Naomi Watts,English,UK,Romance History,ophelia, Claire McCarthy  Daisy Ridley Naomi Watts Romance History ophelia
 Jonas Åkerlund, Rory Culkin,Emory Cohen,English,UK,Drama Music Horror Thriller,lords of chaos, Jonas Åkerlund  Rory Culkin Emory Cohen Drama Music Horror Thriller lords of chaos
" Ewa Banaszkiewicz, Mateusz Dymek", Aneta Piotrowska,Mateusz Dymek Cast: Aneta Piotrowska,English,UK,Drama,my friend the polish girl," Ewa Banaszkiewicz, Mateusz Dymek  Aneta Piotrowska Mateusz Dymek Cast: Aneta Piotrowska Drama my friend the polish girl"
 Jesse V. Johnson, Scott Adkins,Ashley Greene,English,UK,Action Crime Thriller,accident man, Jesse V. Johnson  Scott Adkins Ashley Greene Action Crime Thriller accident man
 Dom Lenoir, Matt Hookings,Michael McKell,English,UK,Thriller,winter ridge, Dom Lenoir  Matt Hookings Michael McKell Thriller winter ridge
 Timur Bekmambetov, Valene Kane,Shazad Latif,English,UK,Mystery Thriller,profile, Timur Bekmambetov  Valene Kane Shazad Latif Mystery Thriller profile
 Axel Petersén and Måns Månsson, Léonore Ekstrand,Christer Levin,English,UK,Drama Thriller TV Movie,the real estate, Axel Petersén and Måns Månsson  Léonore Ekstrand Christer Levin Drama Thriller TV Movie the real estate
 José Padilha, Rosamund Pike,Daniel Brühl,English,UK,,entebbe (a.k.a. 7 days in entebbe),
 Alex Garland, Natalie Portman,Jennifer Jason Leigh,English,UK,Science Fiction Horror,annihilation, Alex Garland  Natalie Portman Jennifer Jason Leigh Science Fiction Horror annihilation
 Duncan Jones, Alexander Skarsgård,Paul Rudd,English,UK,Science Fiction Mystery Thriller,mute, Duncan Jones  Alexander Skarsgård Paul Rudd Science Fiction Mystery Thriller mute
 Karen Gillan, Karen Gillan,Lee Pace,English,UK,Drama Comedy,the party's just beginning, Karen Gillan  Karen Gillan Lee Pace Drama Comedy the party's just beginning
 Garth Davis, Rooney Mara,Joaquin Phoenix,English,UK,Drama History,mary magdalene, Garth Davis  Rooney Mara Joaquin Phoenix Drama History mary magdalene
 Andrés Couturier, Toby Kebbell,Lily Collins,English,UK,,a wizard's tale (a.k.a. here comes the grump),
 Roar Uthaug, Alicia Vikander,Dominic West,English,UK,Action Adventure Fantasy,tomb raider, Roar Uthaug  Alicia Vikander Dominic West Action Adventure Fantasy tomb raider
unknown, Felipe Bustos Sierra,unknown,English,UK,Documentary,nae pasaran,unknown  Felipe Bustos Sierra unknown Documentary nae pasaran
" Scott Elliott, Sid Sadowskyj", Tom Blyth,Sid Sadowskyj Cast: Tom Blyth,English,UK,Drama,scott and sid," Scott Elliott, Sid Sadowskyj  Tom Blyth Sid Sadowskyj Cast: Tom Blyth Drama scott and sid"
 Dan Cadan, Stephen Graham,Jason Flemyng,English,UK,Comedy,walk like a panther, Dan Cadan  Stephen Graham Jason Flemyng Comedy walk like a panther
 John Stevenson, James McAvoy,Emily Blunt,English,UK,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes, John Stevenson  James McAvoy Emily Blunt Animation Family Fantasy Comedy Adventure Mystery sherlock gnomes
 Steve McLean, Harris Dickinson,Ben Cura,English,UK,Drama,postcards from london, Steve McLean  Harris Dickinson Ben Cura Drama postcards from london
 Paul Raschid, Shauna Macdonald,Oded Fehr,English,UK,Science Fiction,white chamber, Paul Raschid  Shauna Macdonald Oded Fehr Science Fiction white chamber
 Jack Spring, David J. Keogh,Matt Sheahan,English,UK,Comedy,destination: dewsbury, Jack Spring  David J. Keogh Matt Sheahan Comedy destination: dewsbury
